noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2603131,2026-06-08,0,0,0,,✔,"melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melanjutkan pembongkaran furnace rongtai 1ton"
2605033,2026-06-08,17,17,0,100.0,✔,tidak ada
2605012,2026-06-08,17,17,0,100.0,✔,Tidak ada
2603143,2026-06-07,0,20,0,100.0,✔,
2601190,2026-06-08,0,30,0,100.0,✔,
2604129,2026-06-06,0,5,0,100.0,✔,Selang komresor bocor
2601176,2026-06-08,0,0,0,,✔,Time management
2605040,2026-06-06,20,10,0,50.0,✔,
2605040,2026-06-08,50,20,0,40.0,✔,
2603130,2026-06-08,0,17,0,100.0,✔,"gerinda duduk cylinder liner (9 pcs), gerinda tangan cylinder liner (8 pcs)."
2604144,2026-06-08,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2602006,2026-06-08,200,230,15,115.0,✔,
2605046,2026-06-08,0,39,2,100.0,✔,
2602168,2026-06-08,0,30,0,100.0,✔,
2605045,2026-06-08,0,21,3,100.0,✔,tidak ada
2605039,2026-06-08,37,37,0,100.0,✔,Tidak ada
2605044,2026-06-08,35,35,2,100.0,✔,tidak ada
2605043,2026-06-08,97,97,0,100.0,✔,maintenance
2603146,2026-06-08,53,53,0,100.0,✔,"Pengecekan Pasir

Kendala :
-Trial BD 135PS, Hino Dutro banyak mould missmatch kendala press
-BD 125PS mould bocor karna hardness di FBO NG (di test OK sama Pak Tito dan Pak Wawan)"
2605047,2026-06-08,0,28,0,100.0,✔,Tidak ada
2602002,2026-06-06,0,21,0,100.0,✔,
2602002,2026-06-08,10,11,0,110.0,✔,
2605018,2026-06-09,100,80,4,80.0,✔,Tidak ada
2601190,2026-06-09,0,40,0,100.0,✔,
2605012,2026-06-09,82,82,0,100.0,✔,Tidak ada
2605033,2026-06-09,164,164,0,100.0,✔,tidak ada
